x,y,z,f1,n_pix,concentration,R_circ,angle_3d_deg,angle_inplane_deg,dyad_inplane_deg,psoct_x,psoct_y,psoct_z,dyad_x,dyad_y,dyad_z
175,187,62,0.7427531970318826,96,0.13465877544490418,0.12585231643588984,55.83599135252628,33.95348046276947,38.603879880867346,-0.7407063234251109,0.12547194025528186,-0.6600082837712192,0.13229026,-0.8279469,0.5449801
161,166,66,0.767500741358299,76,0.949045228169893,0.9409568196510519,11.385282507612672,5.242965461223861,77.55853010359576,-0.8331591664183704,-0.06064070724238191,0.5496985610661447,-0.8645902,-0.22793187,0.4478067
176,161,60,0.8695262790193568,96,0.8229101943483719,0.7558536483861619,35.68253337440006,30.484914607684203,71.7110498757616,-0.9568670580184082,-0.01635430113942621,0.29006545832524977,0.9147609,-0.35244608,0.1974698
177,174,67,0.9832999417224687,93,0.7761772734914718,0.7811126936963249,21.02474103337572,19.571616414823403,81.57603098290791,-0.9977447741179825,0.03873899197779135,-0.0548147445565589,0.9075013,-0.19738647,0.37078306
167,182,64,0.8599559499618341,54,0.9136726802444849,0.9175423162892259,74.9503883467457,32.8363277172657,15.853010842207267,-0.8947316056865772,-0.04236449863839093,0.44459037668469314,-0.16314426,-0.97304636,0.16298684
167,172,29,0.6902326908033173,78,0.15513335555031021,0.6750612015209235,37.55641865079268,19.082963239043817,53.09475852381564,-0.549660873162654,-0.11263802929686574,0.8277593846464003,-0.2116296,-0.65150785,0.7285262
167,162,63,0.6723078970346654,96,0.9375585133651306,0.9707683012719157,1.3476848342109937,0.5225028682940392,89.79967017557681,-0.9582885876569673,-0.015579212944578976,0.28537741832605146,-0.96046555,0.006754202,0.27831715
182,153,52,0.8833185509883924,96,0.3718168847609061,0.45332265567496843,36.44256563563427,22.76006420984418,62.24938630479614,-0.9322858862963586,-0.02811691611272244,0.36062787640575333,-0.8727617,0.48798624,0.012505818
174,150,58,0.6160967094733891,96,0.9554406681306524,0.9536173807728704,14.1585894526776,12.872098848183851,81.95403259958654,-0.9221153376257004,0.08677344315380758,-0.3770592442556918,0.9724054,-0.17617965,0.15293291
171,168,66,0.8143098981377334,82,0.9671082809811026,0.9743653076384874,6.273463814942715,6.266547978016115,89.5524548081009,-0.9941911400913519,0.04531659123996089,-0.097623683203659,-0.9994272,0.032046244,0.010880779
167,173,66,0.8496889609594319,95,0.8588577091921359,0.8407570885161046,3.902357050553778,1.9230418543829462,86.50410857542433,-0.9962268270853211,0.01683780117330029,0.08513869535741236,-0.99249244,-0.044820882,0.11379753
178,164,63,0.7017511845033954,96,0.8226359301796125,0.8715217536982586,41.430462568686195,38.50605511952708,74.99195125869718,-0.9398988871210014,-0.0247519751348681,0.34055457964271446,0.90903777,-0.30383453,0.28519282
176,154,53,0.669383710375757,94,0.916582487151534,0.9348979130724834,15.760500997557912,6.4583155795742035,74.74881337888901,-0.9919836568909676,0.048243574649729476,-0.11679461445734235,-0.95788705,0.28680223,0.014034856
177,155,54,0.7137308957234518,96,0.8998365615180849,0.8828191511836503,27.732421229960483,20.017614170042936,71.71711316695972,-0.9443819762561474,-0.02266652852529388,0.3280684553673908,-0.941297,0.33737722,0.011685683
159,184,39,0.6227549317031279,91,0.38311615424657713,0.6142883176403515,34.5953432465439,34.578050049948494,88.3246625760569,-0.5530366952095467,-0.1121937505446303,0.8255682746390103,0.017101511,-0.10407898,0.994422
168,154,51,0.8965869462966513,94,0.9691103877742377,0.9748453006541716,2.9767292400839653,0.8543266327017623,87.15339521808679,-0.9978204971075164,0.02038060048629574,0.06276055031567909,-0.99681115,-0.0303727,0.073790364
